2023-05-10 14:23:20,589 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:customers-ediftoutbound-app'
2023-05-10 14:23:20,895 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:customers-papi'
2023-05-10 14:23:21,097 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:customers-proxy'
2023-05-10 14:23:21,405 | sonar-tools | INFO    | MainThread      | Getting measures for project 'com.nationalgrid.automation.community.portal:cxp_community_portal_automation'
2023-05-10 14:23:21,635 | sonar-tools | INFO    | MainThread      | Getting measures for project 'com.mycompany:cyme-eligibility-status-sapi'
2023-05-10 14:23:21,851 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cyme-eligibility-status-sapi'
2023-05-10 14:23:22,141 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cyme-feeder-status-sapi'
2023-05-10 14:23:22,348 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:da-customer-papi'
2023-05-10 14:23:22,555 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:da-customers-papi'
2023-05-10 14:23:22,754 | sonar-tools | INFO    | MainThread      | Getting measures for project 'com.mycompany:da-customers-proxy'
2023-05-10 14:23:23,125 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:da-customers-proxy'
2023-05-10 14:23:23,336 | sonar-tools | INFO    | MainThread      | Getting measures for project 'dam-backend'
2023-05-10 14:23:23,526 | sonar-tools | INFO    | MainThread      | Getting measures for project 'dam-frontend'
2023-05-10 14:23:23,716 | sonar-tools | INFO    | MainThread      | Getting measures for project 'datapipelinecore'
2023-05-10 14:23:23,944 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:designer-workdesigns-sapi'
2023-05-10 14:23:24,142 | sonar-tools | INFO    | MainThread      | Getting measures for project '00d770000004eteeay'
2023-05-10 14:23:24,479 | sonar-tools | INFO    | MainThread      | Getting measures for project 'devportal'
2023-05-10 14:23:24,958 | sonar-tools | INFO    | MainThread      | Getting measures for project 'devportal-github'
2023-05-10 14:23:25,150 | sonar-tools | INFO    | MainThread      | Getting measures for project 'com.mycompany:feeder-papi'
2023-05-10 14:23:25,354 | sonar-tools | INFO    | MainThread      | Getting measures for project 'com.mycompany:dg-eapi'
2023-05-10 14:23:25,598 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:dg-eapi'
2023-05-10 14:23:25,869 | sonar-tools | INFO    | MainThread      | Getting measures for project 'com.mycompany:dispatch-css-sapi'
2023-05-10 14:23:26,105 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:dispatch-css-sapi'
2023-05-10 14:23:26,306 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:dnvgl-premiseassets-sapi'
2023-05-10 14:23:26,520 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:doxo-billready-sapi'
2023-05-10 14:23:26,729 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:doxo-ebill-eapi'
2023-05-10 14:23:26,932 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:doxo-ebills-eapi'
2023-05-10 14:23:27,208 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:doxo-ebills-proxy'
